============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .5041885E+07   1922000E+01  .2727E+06  .3974E+06   .9973858  .0595118  .0409866
T    2  1 .5825000E+07   1922000E+01 -.3940E+06  .2058E+06   .9981047 -.0487530  .0375520
T    3  1 .4651805E+07   1922000E+01  .7864E+05  .7781E+05   .9990487  .0411470 -.0144418
T    4  1 .4800644E+07   1922000E+01  .2799E+06  .3441E+05   .9994438  .0108367 -.0315382
T    5  1 .5017598E+07   1922000E+01  .3554E+06  .5968E+05   .9983851  .0568008 -.0009690
T    6  1 .4683490E+07   1922000E+01 -.4821E+06 -.3246E+05   .9986420 -.0499832 -.0146906
T    7  1 .5376588E+07   1922000E+01 -.4859E+06  .2322E+05   .9994481  .0229571  .0240116
T    8  1 .4599243E+07   1922000E+01  .9488E+06 -.5903E+06   .9898933  .1068300 -.0932662
T    9  1 .4860575E+07   1922000E+01  .4883E+06  .4154E+06   .9821646  .0915791  .1642135
T   10  1 .5503874E+07   1922000E+01  .1204E+06  .3740E+05   .9983328 -.0058371  .0574247
T   11  1 .5342678E+07   1922000E+01  .2238E+06 -.2418E+06   .9984373  .0167543 -.0533121
T   12  1 .4817558E+07   1922000E+01 -.5894E+06 -.8432E+06   .9938498 -.0395857 -.1034192
T   13  1 .4549178E+07   1922000E+01  .5771E+05 -.1267E+06   .9993213 -.0212332 -.0301015
T   14  1 .5104700E+07   1922000E+01  .2775E+06 -.6716E+05   .9968153  .0791869 -.0094130
